open_time,open,high,low,close,volume,quote_volume,trade_count,taker_buy_base,taker_buy_quote
2017-08-14 00:00:00+00:00,4261.48,4485.39,3850.0,4086.29,2843.431426,12021576.48265154,13134,2240.24924,9482742.92094674
2017-08-21 00:00:00+00:00,4069.13,4453.91,3400.0,4310.01,4599.396629,18978983.50987317,37826,1755.5302649999999,7173180.19744751
2017-08-28 00:00:00+00:00,4310.01,4939.19,4124.54,4509.08,4753.843376,21581679.92866748,35717,1371.034428,6237542.20612072
2017-09-04 00:00:00+00:00,4505.0,4788.59,3603.0,4130.37,6382.7877450000005,27307824.368939288,42372,2821.422739,12120979.77068529
2017-09-11 00:00:00+00:00,4153.62,4394.59,2817.0,3699.99,8106.705127,30026796.42861788,50423,3763.128452,13956149.18844029
2017-09-18 00:00:00+00:00,3690.0,4123.2,3505.55,3660.02,5908.32335,22501242.65454204,56785,2821.4388870000002,10711864.12380805
2017-09-25 00:00:00+00:00,3660.02,4406.52,3653.69,4378.48,5782.305424,23750419.76839855,71484,2482.361367,10200163.49185349
2017-10-02 00:00:00+00:00,4400.0,4658.0,4110.0,4640.0,4708.272956,20366578.25125568,59658,2077.8034900000002,9008752.49455302
2017-10-09 00:00:00+00:00,4640.0,5922.3,4550.0,5709.99,7913.925837000001,42038755.95644524,61638,4280.127269,22483871.99105491
2017-10-16 00:00:00+00:00,5710.0,6171.0,5037.95,5950.02,12157.769447,69446644.86619961,75969,5501.9124,31411073.98003196
2017-10-23 00:00:00+00:00,5975.0,6189.88,5286.98,6169.98,13133.994569999999,75229774.73890872,74778,5845.143252,33499318.444814578
2017-10-30 00:00:00+00:00,6133.01,7590.25,6030.0,7345.01,11663.209648,79517426.5391578,98387,5037.950811,34445720.64501364
2017-11-06 00:00:00+00:00,7345.1,7770.02,5325.01,5811.03,18916.3199,126612916.75463176,132654,8296.83946,55517892.65634026
2017-11-13 00:00:00+00:00,5839.94,8123.15,5699.99,8038.0,19791.101011,146293856.48316985,107207,9966.297735,73714925.58366317
2017-11-20 00:00:00+00:00,8057.11,9350.0,7801.0,9128.02,28921.859792000003,240238717.93883663,129930,14522.913389,120677884.10182005
2017-11-27 00:00:00+00:00,9128.0,11825.0,8520.0,11165.41,48427.949649999995,493261876.5247408,232180,27122.187730999998,276199673.0556042
2017-12-04 00:00:00+00:00,11165.41,17204.99,10802.0,14899.98,72469.977627,1022228203.7964909,393420,42089.109532,596373967.6702242
2017-12-11 00:00:00+00:00,14946.26,19798.68,14666.56,18860.02,67851.486215,1143594375.3765807,539238,33646.705468,566603311.0514766
2017-12-18 00:00:00+00:00,18860.04,19300.0,10961.0,13500.0,135385.440322,1998479799.1145616,1007841,67305.696474,989270027.7844436
2017-12-25 00:00:00+00:00,13500.0,16498.05,11750.0,13716.36,116522.75432100001,1636613418.3316479,1040980,62664.766575,882011540.5347855
2018-01-01 00:00:00+00:00,13715.65,17176.24,12750.0,16150.03,120239.399359,1828148890.8541193,1087900,68117.139059,1037992795.2494293
2018-01-08 00:00:00+00:00,16218.85,16322.3,11400.0,13474.99,137537.904565,1919927016.0206215,1176645,67529.525725,944460208.0227354
2018-01-15 00:00:00+00:00,13477.98,14249.99,9035.0,11530.0,303127.502137,3434833014.703798,2359135,148847.018392,1689262267.4451878
2018-01-22 00:00:00+00:00,11530.0,12244.0,9900.24,11879.95,198030.051117,2184045152.4962206,1961464,95219.664176,1049772766.2931718
2018-01-29 00:00:00+00:00,11879.95,11975.02,7930.0,8184.81,202016.407759,1896352538.670673,2082917,92718.819101,870670207.3273916
